state,stateImg,parties,title,href,dateFiled,dateDecided,excerpt,electionAdministration,felonyDisenfranchisement,inPersonVoting,postElectionLitigation,redistrictingLitigation,registration,voteByMail,victory,caseStatus
New Mexico,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-newmexico-01-1.png,"Republican Party of New Mexico v. Oliver","New Mexico Congressional Redistricting Challenge","https://www.democracydocket.com/cases/new-mexico-congressional-redistricting-challenge/",2022-01-21,2023-11-27,"Lawsuit filed by Republicans challenging New Mexico’s congressional map drawn with 2020 census data.",false,false,false,false,true,false,false,true,Decided
Ohio,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-ohio-01-1.png,"Ohio Organizing Collaborative v. Ohio Redistricting Commission","Ohio Legislative Redistricting Challenge (OOC)","https://www.democracydocket.com/cases/ohio-redistricting-challenge-ooc/",2021-09-27,2023-11-27,"Lawsuit challenging Ohio’s new General Assembly maps for being partisan gerrymanders.",false,false,false,false,true,false,false,false,Decided
Ohio,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-ohio-01-1.png,"Bennett v. Ohio Redistricting Commission","Ohio Legislative Redistricting Challenge (Bennett)","https://www.democracydocket.com/cases/ohio-redistricting-challenge-bennett/",2021-09-24,2023-11-27,"Lawsuit challenging Ohio’s new General Assembly maps for being partisan gerrymanders.",false,false,false,false,true,false,false,false,Decided
Texas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-texas-01-1.png,"Harris County v. Texas","Texas Harris County Election Administration Challenge","https://www.democracydocket.com/cases/texas-harris-county-election-administration-challenge/",2023-07-06,2023-11-24,"Lawsuit filed on behalf of Harris County challenging a new law that targets Harris County election administration.",true,false,false,false,false,false,false,false,Decided
Georgia,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-georgia-01-1.png,"Rose v. Raffensperger","Georgia Public Service Commission Elections Challenge","https://www.democracydocket.com/cases/georgia-public-service-commission-elections-challenge/",2020-07-13,2023-11-24,"Lawsuit filed by Black voters registered in Fulton County, Georgia challenging the at-large method used to elect members of the Public Service Commission, which is responsible for regulating public utilities in Georgia.",false,false,false,false,true,false,false,false,Decided
North Carolina,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northcarolina-01-1.png,"Pierce v. North Carolina State Board of Elections","North Carolina State Senate Map Challenge","https://www.democracydocket.com/cases/north-carolina-state-senate-map-challenge/",2023-11-20,undefined,"Lawsuit filed on behalf of two Black voters challenging North Carolina’s Republican-drawn state Senate map.",false,false,false,false,true,false,false,false,Filed
Arkansas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arkansas-01-1.png,"Arkansas State Conference NAACP v. Arkansas Board of Apportionment","Arkansas Legislative Redistricting Challenge","https://www.democracydocket.com/cases/arkansas-legislative-redistricting-challenge/",2021-12-29,2023-11-20,"Lawsuit filed on behalf of the Arkansas State Conference NAACP and Arkansas Public Policy Panel challenging Arkansas’ new state House map passed following the release of 2020 census data.",false,false,false,false,true,false,false,false,Decided
Michigan,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-michigan-01-1.png,"Babb v. Nessel","Michigan Voter Transportation Ban Challenge","https://www.democracydocket.com/cases/michigan-voter-transportation-ban-challenge/",2023-08-11,2023-11-16,"Lawsuit challenging a Michigan law that makes it a misdemeanor to “hire a motor vehicle” to transport voters to the polls in most cases.",false,false,true,false,false,false,false,true,Decided
Mississippi,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-mississippi-01-1.png,"Mississippi Democratic Party v. Hinds County Election Commission","Mississippi Hinds County Polling Place Hours Extension (Mississippi Democrats)","https://www.democracydocket.com/cases/mississippi-hinds-county-polling-place-hours-extension-mississippi-democrats/",2023-11-07,2023-11-15,"Lawsuit filed by the Mississippi Democratic Party in the Hinds County Chancery Court seeking to extend poll hours countywide until 8 p.m. due to ballot shortages on Election Day.",true,false,true,false,false,false,false,false,Decided
Mississippi,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-mississippi-01-1.png,"Mississippi Votes v. Wallace","Mississippi Hinds County Polling Place Hours Extension (Mississippi Votes)","https://www.democracydocket.com/cases/mississippi-hinds-county-polling-place-hours-extension/",2023-11-07,2023-11-13,"Lawsuit filed on behalf of Mississippi Votes requesting that the Circuit Court extend poll hours past 7:00 p.m. due to ballot shortages on election day in four precincts in Hinds County, Mississippi.",true,false,true,false,false,false,false,false,Decided
