state,stateImg,parties,title,href,dateFiled,dateDecided,excerpt,electionAdministration,felonyDisenfranchisement,inPersonVoting,postElectionLitigation,redistrictingLitigation,registration,trumpAccountability,voteByMail,victory,caseStatus
Utah,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-utah-01-1.png,"League of Women Voters of Utah v. Utah State Legislature","Utah Congressional Redistricting Challenge","https://www.democracydocket.com/cases/utah-congressional-redistricting-challenge/",2022-03-17,2025-11-10,"Lawsuit challenging Utah’s new congressional map following the release of 2020 census data.",false,false,false,false,true,false,false,false,true,undefined
Maryland,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-maryland-01.png,"National Council of Jewish Women v. U.S. Citizenship and Immigration Services","USCIS Naturalization Ceremony Voter Registration Assistance Ban Challenge","https://www.democracydocket.com/cases/uscis-naturalization-ceremony-voter-registration-assistance-ban-challenge/",2025-11-07,undefined,"A pro-voting lawsuit challenging a new USCIS policy that bars non-governmental organizations from providing voter registration assistance during naturalization ceremonies.",false,false,false,false,false,true,true,false,false,Filed
Arizona,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arizona-01-1.png,"Gould v. Mayes","Arizona Mohave County Hand Count Challenge","https://www.democracydocket.com/cases/arizona-mohave-county-hand-count-challenge/",2024-01-13,2025-11-06,"Lawsuit filed on behalf of Mohave County Supervisor Ron Gould (in his individual capacity) against Arizona Attorney General Kris Mayes (D).",true,false,false,false,false,false,false,false,true,undefined
California,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-california-01-1.png,"Tangipa et al v. Newsom et al","California Congressional Redistricting Challenge (Tangipa)","https://www.democracydocket.com/cases/california-congressional-redistricting-challenge-tangipa/",2025-11-05,undefined,"California Congressional Redistricting Challenge (Tangipa) An anti-voting lawsuit challenging the implementation of California’s new congressional map following the passage of Proposition 50.  Background The California Republican Party and voters filed a lawsuit in federal court challenging the constitutionality of the state’s new congressional map implemented after passage of Proposition 50. Plaintiffs assert the new map […]",false,false,false,false,true,false,false,false,false,Filed
California,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-california-01-1.png,"Hilton v. Weber","California Congressional Redistricting Challenge (Hilton)","https://www.democracydocket.com/cases/california-congressional-redistricting-challenge-hilton/",2025-09-04,2025-11-04,"An anti-voting lawsuit challenging California governor Gavin Newsom’s congressional redistricting ballot measure.",false,false,false,false,true,false,false,false,true,undefined
California,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-california-01-1.png,"People of the State of California v. City of Huntington Beach","California Huntington Beach Voter Identification Challenge","https://www.democracydocket.com/cases/california-huntington-beach-voter-identification-challenge/",2024-04-15,2025-11-03,"Lawsuit filed on behalf of the people of the state of California against the City of Huntington Beach challenging Huntington Beach’s requirement for voters to provide voter identification to participate in all municipal elections, beginning in 2026.",false,false,true,false,false,false,false,false,true,undefined
New Jersey,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-newjersey-01-1.png,"New Jersey Democratic State Committee v. Board of Elections of Bergen County","New Jersey Bergen County Naked Ballot Challenge","https://www.democracydocket.com/cases/new-jersey-bergen-county-naked-ballot-challenge/",2025-11-03,undefined,"A pro-voting lawsuit challenging the Bergen County Board of Elections’ refusal to count mail-in ballots submitted without inner envelopes.",false,false,false,false,false,false,false,true,false,Filed
Virginia,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-virginia-01-1.png,"Jett et al. v. Nardo et al.","Virginia Congressional Redistricting Challenge (Jett)","https://www.democracydocket.com/cases/virginia-congressional-redistricting-challenge-jett/",2025-10-31,undefined,"An anti-voting lawsuit seeking to block Virginia’s Democratic-led plan to counter nationwide GOP gerrymanders.",false,false,false,false,true,false,false,false,true,undefined
California,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-california-01-1.png,"Jackson and Issa v. Weber and Newsom","California Congressional Redistricting Challenge (Issa)","https://www.democracydocket.com/cases/california-congressional-redistricting-challenge-issa/",2025-10-29,2025-10-31,"An anti-voting lawsuit seeking to derail California’s response to nationwide GOP gerrymanders.",false,false,false,false,true,false,false,false,true,undefined
Virginia,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-virginia-01-1.png,"NAACP Virginia State Conference v. O’Bannon","Virginia Student Registration Rejection Challenge","https://www.democracydocket.com/cases/virginia-student-registration-rejection-challenge/",2025-10-31,undefined,"A pro-voting lawsuit seeking to block the rejection of voter registration applications submitted by eligible college students living on campus.",false,false,false,false,false,true,false,false,false,Filed
