id,publishDate,title,url,publication,authors,authorList,image,sentence,country,bias,mediaOutletType,hasElias,hasDemocracyDocket
178213,2024-10-20,Republicans and Democrats are both preparing for long legal battles over the 2024 election results,https://economictimes.indiatimes.com/news/international/world-news/republicans-and-democrats-are-both-preparing-for-long-legal-battles-over-the-2024-election-results/articleshow/114397911.cms,India Times,,,"https://img.etimg.com/thumb/msid-114397948,width-1200,height-630,imgsize-51190,overlay-economictimes/articleshow.jpg","""With a little over two weeks before Election Day, about 180 voting and election cases have been filed so far this year, according to Democratic lawyer Marc Elias, who founded the election litigation tracking group Democracy Docket.",India,Unspecified,National News Outlet,True,True
176705,2022-11-07,"Republicans, Democrats File Over 100 Lawsuits in Run-up to Midterms",https://www.voanews.com/a/republicans-democrats-file-over-100-lawsuits-in-run-up-to-midterms-/6824314.html,Voice of America,Masood Farivar,Masood Farivar,https://gdb.voanews.com/03570000-0aff-0242-c347-08dac113010e_cx0_cy4_cw0_w1200_h630.jpg,"In addition to the counting and processing of mail-in ballots, Democracy Docket says it expects legal challenges to voters' eligibility, intimidation of voters and election workers, conspiracy theories about electronic voting machines and counties that refuse to certify their election results.",Myanmar,Unspecified,National News Outlet,False,True
171125,2025-08-26,Trump loyalist who pushed false election claims takes on government role,https://www.aljazeera.com/news/2025/8/26/trump-loyalist-who-pushed-false-election-claims-takes-on-government-role?traffic_source=rss,Aljazeera,,,https://www.aljazeera.com/wp-content/uploads/2025/08/2025-04-01T155422Z_834626356_RC23PDAL8OE5_RTRMADP_3_USA-ELECTION-FLORIDA-HOUSE-1756251200.jpg?resize=1920%2C1440,Honey’s appointment was first reported by the investigative news outlet Democracy Docket on Monday.,Qatar,Center Left,Web Publication,False,True
178019,2024-12-10,Trump picks Maga darling Harmeet Dhillon to lead civil rights cases at DoJ,https://www.theguardian.com/us-news/2024/dec/10/trump-harmeet-dhillon-justice-department-civil-rights,The Guardian,Rachel Leingang,Rachel Leingang,"https://i.guim.co.uk/img/media/6f11bff37ea5fc2f7816a57ac75ade9f15f00611/0_77_5168_3102/master/5168.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMjQucG5n&enable=upscale&s=34ef626ba596457dc23fb9753ff9a8d7",Democracy Docket said Dhillon has emerged as “one of the leading legal figures working to roll back voting rights across the country”.,United Kingdom,Center Left,Local News Outlet,False,True
178200,2024-10-24,Expert reveals how your outfit could prevent you from voting in the 2024 presidential election,https://www.dailymail.co.uk/femail/article-13997707/expert-style-outfit-choice-prevent-voting-2024-presidential-election.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,Daily Mail,"Margaret Abrams, Us Assistant Lifestyle Editor, Style, Beauty","Beauty, Margaret Abrams, Style, Us Assistant Lifestyle Editor",https://i.dailymail.co.uk/1s/2024/10/24/17/91244891-0-image-a-73_1729788080418.jpg,The Democracy Docket website has a section outlining the 21 states where your attire could prevent you from casting your vote.,United Kingdom,Center Right,Local News Outlet,False,True
178283,2022-11-07,Republicans are suing to disqualify voters in battleground states,https://www.independent.co.uk/news/world/americas/us-politics/midterm-elections-2022/republican-detroit-pennsylvania-lawsuits-b2219865.html,The Independent,,,https://static.independent.co.uk/2022/11/07/21/1244559459.jpg?width=1200&height=800&crop=1200:800,"In all, 120 cases surrounding the electoral process have been filed as of 3 November, according to Democracy Docket.",United Kingdom,Center Left,Local News Outlet,False,True
178190,2020-07-14,Hillary Clinton says the US must realize Trump may not 'go quietly',https://www.dailymail.co.uk/news/article-8520363/amp/Hillary-Clinton-says-ready-possibility-Trump-not-quietly.html?__twitter_impression=true,Daily Mail,,,https://i.dailymail.co.uk/1s/2020/07/14/07/30738000-0-image-a-74_1594707213852.jpg,She said she works with Democracy Docket to support lawsuits 'to make the vote available'.,United Kingdom,Center Right,Local News Outlet,False,True
178255,2021-07-07,Hillary Clinton hammers GOP’s ‘concerted attempt to destabilize the democratic process’,https://www.independent.co.uk/news/world/americas/us-politics/hillary-clinton-democracy-gop-voting-b1879976.html,The Independent,,,https://static.independent.co.uk/s3fs-public/thumbnails/image/2016/11/06/20/clintoni.jpg?width=1200&height=800&crop=1200:800,"In the piece published in Democracy Docket on Wednesday, the 2016 Democratic nominee for the presidency excoriated Republican efforts in legislatures around the country to restrict voting, such as bills that restrict early voting and mail-in ballots.",United Kingdom,Center Left,Local News Outlet,False,True
178236,2024-10-16,Battleground state Georgia sees record turnout - more than double the 2020 count - as early voting begins,https://www.dailymail.co.uk/news/article-13965783/Battleground-state-Georgia-sees-record-turnout-double-2020-count-early-voting-begins.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,Daily Mail,"Perkin Amalaraj, Foreign News Reporter","Foreign News Reporter, Perkin Amalaraj",https://i.dailymail.co.uk/1s/2024/10/16/11/90918357-0-image-m-48_1729075995281.jpg,"A billboard encourages people to vote at Atlanta Metropolitan State College on October 15, 2024 in Atlanta, Georgia

Voters take part in early election voting at a polling station in Marietta, Georgia, U.S. October 15, 2024

A billboard tells people the dates they are able to vote at Atlanta Metropolitan State College on October 15, 2024 in Atlanta, Georgia

A poll worker hands a voter the green card used to identify the voter when using the machine to go to cast their vote on the first day of early voting at Metropolitan library on October 15, 2024 in Atlanta, Georgia

'Anything that adds uncertainty and disorder to the electoral process disserves the public,' according to a copy of the decision posted by Democracy Docket, a website founded by Democratic lawyer Marc Elias that tracks election cases.",United Kingdom,Center Right,Local News Outlet,True,True
178251,2021-05-06,"DeSantis signs bill to 'protect election integrity' by limiting mail-in ballots, enforcing ID rules",https://www.dailymail.co.uk/news/article-9550433/DeSantis-signs-bill-protect-election-integrity-limiting-mail-ballots-enforcing-ID-rules.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,Daily Mail,"Katelyn Caralle, Senior U.S. Political Reporter","Katelyn Caralle, Senior U.S. Political Reporter",https://i.dailymail.co.uk/1s/2021/05/06/16/42658020-0-image-a-5_1620314134605.jpg,"Immediately after the new law was signed Democracy Docket, founded by election law and voting rights attorney Marc Elias, filed a lawsuit against Florida.",United Kingdom,Center Right,Local News Outlet,True,True
