state,stateImg,parties,dateFiled,dateDecided,excerpt
Pennsylvania,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-pennslyvania-01-1.png,"Bonner v. Chapman",2022-07-20,2023-08-01,"Lawsuit filed on behalf of Republican lawmakers in Pennsylvania against Acting Secretary of the Commonwealth of Pennsylvania Leigh M. Chapman (D) challenging Act 77 of the Pennsylvania Election Code."
Colorado,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-colorado-01-1.png,"Colorado Republican Party v. Griswold",2023-07-31,undefined,"Lawsuit filed on behalf of the Colorado Republican Party (CO GOP) challenging Proposition 108 — a proposition that allows unaffiliated voters to vote in partisan primaries without declaring an affiliation to that party — alleging that the proposition violates the First and 14th Amendments of the U.S. Constitution."
Wisconsin,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-wisconsin-01-1.png,"Concerned Veterans of Waukesha County v. Wisconsin Elections Commission",2022-11-04,2023-07-28,"Lawsuit filed on behalf of the Concerned Veterans of Waukesha County, two Wisconsin voters and state Rep. Janel Brandtjen (R) alleging that WEC must immediately sequester and stop counting military absentee ballots."
Florida,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-florida-01-1.png,"League of Women Voters of Florida v. Byrd",2023-04-26,2023-07-27,"Lawsuit filed by the League of Women Voters of Florida and the Florida State Conference of the NAACP challenging Florida’s statewide voter registration application that was adopted in 2013."
Arkansas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arkansas-01-1.png,"Christian Ministerial Alliance v. Arkansas",2019-06-10,2023-07-25,"Lawsuit filed on behalf of the Christian Ministerial Alliance, Arkansas Community Institute and Black voters challenging the election methods used for the Arkansas Court of Appeals and Arkansas Supreme Court."
Texas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-texas-01-1.png,"Paxton v. Harris County Commissioners Court",2022-11-21,2023-07-21,"Petition filed by Texas Attorney General Ken Paxton (R) seeking emergency relief from the Texas Supreme Court to prohibit the counting of ballots cast during Harris County’s extended polling hours during the Nov. 8, 2022 election."
Texas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-texas-01-1.png,"Texas Organizing Project v. Harris County",2022-11-08,2023-07-21,"Petition filed by the Texas Organizing Project requesting that the Harris County District Court allow 12 polling locations to remain open until 8:00 p.m. CST, which is one hour later than they would normally remain open."
Kentucky,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-kentucky-01.png,"Lostutter v. Beshear",2018-10-29,2023-07-20,"Lawsuit filed by eight disenfranchised individuals with prior felony convictions challenging Kentucky’s voting rights restoration scheme."
Wisconsin,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-wisconsin-01-1.png,"Priorities USA v. Wisconsin Elections Commission",2023-07-20,undefined,"Lawsuit filed by Priorities USA, the Wisconsin Alliance for Retired Americans and a voter against the Wisconsin Elections Commission challenging three rules regulating absentee voting procedures in Wisconsin."
Florida,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-florida-01-1.png,"Florida Rights Restoration Coalition v. DeSantis",2023-07-19,undefined,"Lawsuit filed by Florida Rights Restoration Coalition and others challenging Florida’s onerous and inconsistent system for voting rights restoration as well as the state’s “election police” unit."
