id,publishDate,title,url,publication,authors,authorList,image,sentence,country,bias,mediaOutletType
69911,2025-03-26,Are The Democrats Saying the Quiet Part Out Loud?,https://hotair.com/david-strom/2025/03/26/are-the-democrats-saying-the-quiet-part-out-loud-n3801180,Hot Air,David Strom,David Strom,https://media.townhall.com/cdn/hodl/2024/23/27cfb8fb-4203-4732-9f14-0476c64f51dc.jpg,"Countless NGOs harvested billions of dollars in USAID grants, and lots of contractors made a mint transporting, feeding, and housing the flood of illegals, but the Democrats counted on harvesting millions of illegal votes in the bargain as well.",United States,Right,Web Publication
159628,2025-11-09,Democrats use handpicked leftist judges to thwart Trump,https://www.wnd.com/2025/02/democrats-use-handpicked-leftist-judges-to-thwart-trump/?utm_source=rss&utm_medium=rss&utm_campaign=democrats-use-handpicked-leftist-judges-to-thwart-trump,Unspecified,"Rachel Alexander, Rachel Alexander Is A Conservative Commentator, Editor Of The Intellectual Conservative. A Recovering Attorney, She Frequently Appears On Tv, News Radio. She Previously Served As An Assistant Attorney General For The State Of Arizona, Corporate Attorney For Go Daddy Software, Special Assistant Deputy County Attorney For The Maricopa County Attorney S Office.","Corporate Attorney For Go Daddy Software, Rachel Alexander, Rachel Alexander Is A Conservative Commentator, She Frequently Appears On Tv",https://www.wnd.com/wp-content/uploads/2024/06/judge-jury-law-courtroom-trial-Pexels-1200x630.jpg,Far-left groups representing federal employees filed a lawsuit in D.C. challenging the administration’s steps to dismantle USAID by placing employees on administrative leave.,United States,Unspecified,Other
64120,2025-03-12,Judge Temporarily Blocks Trump’s Vendetta Against Law Firm,https://talkingpointsmemo.com/where-things-stand/judge-temporarily-blocks-trumps-vendetta-against-law-firm,Talking Points Memo,"Kate Riga, Nicole Lafond, Josh Kovensky, March, .Wp-Block-Co-Authors-Plus-Coauthors.Is-Layout-Flow, Class, Wp-Block-Co-Authors-Plus, Display Inline, .Wp-Block-Co-Authors-Plus-Avatar, Where Img","Josh Kovensky, Kate Riga, Nicole Lafond",https://talkingpointsmemo.com/wp-content/uploads/2025/03/GettyImages-2203841660.jpg?w=804,"While the situation is less dire for white-shoe law firms than it is, say, for USAID workers stranded abroad, the implication is chilling: Lawyers who dare to represent a Democrat, or even liberal causes, will be punished, as will their clients.",United States,Left,Web Publication
39023,2025-02-03,What Illegal Autocouping Is Elon Musk Up To Today?,https://www.wonkette.com/p/what-illegal-autocouping-is-elon,Wonkette,Marcie Jones,Marcie Jones,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F473e4d2b-d649-45db-8e57-ba009fecc4e9_735x340.png","Reportedly he has already directed his engineers to find ways to turn off the flow of money to agencies and programs he and the Executive-Order-signer oppose, starting with USAID.",United States,Left,Web Publication
148003,2025-03-14,The Destruction Of The Democrats' Main Grifting Engine Is A Sight To Behold,https://www.zerohedge.com/political/destruction-democrats-main-grifting-engine-sight-behold,ZeroHedge,Tyler Durden,Tyler Durden,https://assets.zerohedge.com/s3fs-public/styles/16_9_max_700/public/2025-03/2025-03-14_09-31-34.jpg?h=4a6ac30f&itok=F4qQ5GVu,"The Democratic Party’s main grifting engine, the USAID, was deconstructed weeks ago, yet we hear that just this week USAID workers were ordered to go back into their offices to shred all their documents.",United States,Right,Web Publication
162648,2025-12-16,"Trump Somehow Makes a Tragedy Worse, Ballroom Won’t Be Ready Until 2028, and Arlington Named Its Snowplows",https://washingtonian.com/2025/12/16/trump-reiner-post-ballroom-2028/?utm_source=rss&utm_medium=rss&utm_campaign=trump-reiner-post-ballroom-2028,Unspecified,Andrew Beaujon,Andrew Beaujon,https://washingtonian.com/wp-content/uploads/2025/01/Washingtonian-Today-Capitol.png,"(Politico) Administration officials celebrated with sheet cake as they dismantled USAID, cutting “programs in ways that guaranteed widespread harm and death in some of the world’s most desperate situations.”",United States,Unspecified,Other
71353,2025-04-15,Trump’s Authoritarian Promise Is Distilled Into A Single Paragraph,https://talkingpointsmemo.com/morning-memo/trumps-authoritarian-promise-is-distilled-into-a-single-paragraph,Talking Points Memo,"John Light, Nicole Lafond, David Kurtz, September, Lighttweeting, Nicole_Lafond, April, .Wp-Block-Co-Authors-Plus-Coauthors.Is-Layout-Flow, Class, Wp-Block-Co-Authors-Plus","David Kurtz, John Light, Lighttweeting, Nicole Lafond, Nicole_Lafond, September",https://talkingpointsmemo.com/wp-content/uploads/2024/09/GettyImages-2170736434.jpg?w=804,,United States,Left,Web Publication
156100,2025-03-18,Spring's Frightful Awakening,https://www.activistpost.com/springs-frightful-awakening/,Unspecified,,,https://www.activistpost.com/wp-content/uploads/2025/03/ad628933-bcb6-4b94-a041-5c35d8bdf50d_1024x768.jpg,"The Democratic Party’s main grifting engine, the USAID, was deconstructed weeks ago, yet we hear that just this week USAID workers were ordered to go back into their offices to shred all their documents.",United States,Unspecified,Other
69579,2025-03-24,The Last Resort,https://www.zerohedge.com/political/last-resort,ZeroHedge,Tyler Durden,Tyler Durden,https://assets.zerohedge.com/s3fs-public/styles/16_9_max_700/public/2025-03/UFO2JE4YLJFBLE3CAMR2ORZ3SM.jpg?itok=l7nJIcEu,The racketeering operation was perfectly illustrated in the DOGE's recent deconstruction of USAID.,United States,Right,Web Publication
176879,2026-01-12,Lawsuits could reshape the 2030 census,https://www.wgal.com/article/lawsuits-could-reshape-2030-census/69966515,Unspecified,Mike Schneider Associated Press,Mike Schneider Associated Press,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/ap26010000688927-1-69653f8358b71.jpg?crop=1.00xw:0.847xh;0,0.00959xh&resize=1200:*",,United States,Unspecified,Other
